"filename", "language", "Markdown", "Shell Script", "YAML", "Ignore", "JavaScript", "JSON with Comments", "JSON", "TypeScript", "Docker", "HTML", "Properties", "Prisma", "GraphQL", "SQL", "comment", "blank", "total"
"d:\ELIV\PROJECTS\eliv-api\api\src\common\constants\videoQualityConfigs.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 2, 36
"d:\ELIV\PROJECTS\eliv-api\api\src\common\enums\image-provider.enum.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\ELIV\PROJECTS\eliv-api\api\src\config\global.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"d:\ELIV\PROJECTS\eliv-api\api\src\config\jwt.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\ELIV\PROJECTS\eliv-api\api\src\config\path.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\ELIV\PROJECTS\eliv-api\api\src\live-sessions\dto\rtmp-input.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\ELIV\PROJECTS\eliv-api\api\src\live-sessions\enums\status.enum.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\ELIV\PROJECTS\eliv-api\api\src\live-sessions\live-session.schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"d:\ELIV\PROJECTS\eliv-api\api\src\live-sessions\live-sessions.controller.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"d:\ELIV\PROJECTS\eliv-api\api\src\live-sessions\live-sessions.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 7, 56
"d:\ELIV\PROJECTS\eliv-api\api\src\live-sessions\live-sessions.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\ELIV\PROJECTS\eliv-api\api\src\live-sessions\live-sessions.resolver.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\ELIV\PROJECTS\eliv-api\api\src\live-sessions\live-sessions.resolver.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 7, 48
"d:\ELIV\PROJECTS\eliv-api\api\src\live-sessions\live-sessions.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"d:\ELIV\PROJECTS\eliv-api\api\src\live-sessions\live-sessions.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 7, 40
"d:\ELIV\PROJECTS\eliv-api\api\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 5, 28
"d:\ELIV\PROJECTS\eliv-api\api\src\oauth-links\oauth-link.schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 9
"d:\ELIV\PROJECTS\eliv-api\api\src\oauth-links\oauth-links.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\ELIV\PROJECTS\eliv-api\api\src\oauth-links\oauth-links.resolver.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\ELIV\PROJECTS\eliv-api\api\src\oauth-links\oauth-links.resolver.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 7, 48
"d:\ELIV\PROJECTS\eliv-api\api\src\oauth-links\oauth-links.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"d:\ELIV\PROJECTS\eliv-api\api\src\oauth-links\oauth-links.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 7, 35
"d:\ELIV\PROJECTS\eliv-api\api\src\permissions-on-roles\permissions-on-roles.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\ELIV\PROJECTS\eliv-api\api\src\permissions-on-roles\permissions-on-roles.schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"d:\ELIV\PROJECTS\eliv-api\api\src\permissions\decorators\need-permissions\need-permissions.decorator.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
